Sr. No.,Subject,Content
92,Science,"The theory of evolution by natural selection, proposed by Charles Darwin, explains how species evolve over time through the process of natural selection. It suggests that organisms with traits better suited to their environment are more likely to survive and reproduce, passing on those traits to future generations."
93,History,"The Cold War was a period of geopolitical tension and competition between the Soviet Union and the United States and their respective allies. It lasted from the end of World War II in 1945 until the dissolution of the Soviet Union in 1991, characterized by proxy wars, nuclear arms races, and ideological conflicts."
94,Geography,"Biomes are distinct ecological communities characterized by unique climate, vegetation, and animal life. Examples include rainforests, deserts, tundras, and grasslands, each with its own set of environmental conditions and species adapted to survive within them."
95,Literature,"Poetry is a form of literary expression characterized by rhythm, meter, and often, rhyme. It can convey emotions, ideas, and experiences through the use of language, imagery, and sound patterns, and encompasses various forms such as sonnets, haikus, and free verse."
96,Mathematics,"Statistics is a branch of mathematics concerned with collecting, analyzing, interpreting, and presenting data. It includes techniques for summarizing data, making predictions, and testing hypotheses, and is widely used in fields such as science, economics, and social sciences."
97,Science,"The theory of relativity, proposed by Albert Einstein, describes how the fabric of spacetime is warped by mass and energy, leading to phenomena such as time dilation and gravity. It revolutionized our understanding of space, time, and gravity and has numerous applications in modern physics and cosmology."
98,History,The American Revolution was a colonial revolt against British rule in the American colonies that began in 1775 and culminated in the Declaration of Independence in 1776. It resulted in the formation of the United States of America and marked the beginning of the end of British colonial rule in North America.
99,Geography,"The Amazon Rainforest, located in South America, is the largest tropical rainforest in the world, known for its unparalleled biodiversity and ecological significance. It plays a vital role in regulating the Earth's climate, storing carbon dioxide, and supporting countless species of plants and animals."
100,Literature,"The novel is a long-form fictional narrative that explores complex characters, settings, and themes. It typically follows a plot structure involving exposition, rising action, climax, falling action, and resolution, and has been a popular literary form for centuries, encompassing genres such as romance, mystery, and science fiction."
101,Mathematics,"Calculus is a branch of mathematics that deals with rates of change and accumulation. It includes differential calculus, which studies instantaneous rates of change, and integral calculus, which deals with the accumulation of quantities over intervals. Calculus has widespread applications in physics, engineering, economics, and other fields."
102,Science,"The Big Bang theory is the prevailing cosmological model for the observable universe, suggesting that it originated from a hot, dense state approximately 13.8 billion years ago. It explains the expansion of the universe, the formation of galaxies, and the abundance of light elements, and is supported by various lines of evidence, including the cosmic microwave background radiation."
103,History,"The French Revolution was a period of radical social and political upheaval in France from 1789 to 1799, characterized by the overthrow of the monarchy, the establishment of a republic, and the Reign of Terror. It had far-reaching effects on France and the rest of Europe, inspiring political and social changes and influencing modern ideologies such as liberalism and nationalism."
104,Geography,"The Great Barrier Reef, located off the coast of Queensland, Australia, is the world's largest coral reef system, stretching over 2,300 kilometers. It is renowned for its biodiversity, with thousands of species of fish, coral, and other marine life, and is a UNESCO World Heritage Site."
105,Literature,"Realism is a literary movement characterized by an emphasis on depicting everyday life and experiences with accuracy and detail. It emerged in the 19th century as a reaction against romanticism and idealized portrayals of reality, seeking to present a more objective and truthful representation of society and human behavior."
106,Mathematics,"Game theory is a branch of mathematics that studies strategic decision-making in situations where the outcome of one's choices depends on the choices of others. It is used in various fields such as economics, political science, and biology to analyze conflicts, negotiations, and cooperative behaviors."
107,Science,"The theory of plate tectonics revolutionized our understanding of Earth's geological processes by proposing that Earth's lithosphere is divided into rigid plates that move relative to each other over the semi-fluid asthenosphere. It explains the formation of mountains, earthquakes, and volcanic activity, and provides insights into the dynamics of Earth's crust."
108,History,"The Age of Exploration, also known as the Age of Discovery, was a period of European exploration and colonization of the Americas, Africa, Asia, and Oceania from the 15th to the 17th centuries. It led to significant cultural exchanges, economic expansion, and geopolitical rivalries, shaping the modern world and laying the foundations for globalization."
109,Geography,"The Sahara Desert is the largest hot desert in the world, covering much of North Africa. It is characterized by its vast stretches of sand dunes, rocky plateaus, and sparse vegetation, and experiences extreme temperatures and arid conditions. Despite its harsh environment, it is home to a diverse range of plant and animal species adapted to desert life."
110,Literature,"Gothic fiction is a genre of literature characterized by elements of horror, romance, and the supernatural. It often features bleak, mysterious settings such as crumbling castles and haunted mansions, along with melodramatic plots, psychological suspense, and a fascination with death and the unknown."
111,Mathematics,"Graph theory is a branch of mathematics concerned with the study of graphs, which are mathematical structures used to model pairwise relations between objects. It includes topics such as paths, cycles, connectivity, and graph coloring, and has applications in computer science, optimization, and network analysis."
112,Science,"Astrophysics is a branch of astronomy that applies the principles of physics and chemistry to study celestial objects and phenomena. It encompasses topics such as the behavior of stars, galaxies, and the universe as a whole, and seeks to understand the underlying physical processes that govern the cosmos."
113,History,"The Ottoman Empire was a vast empire founded in the 13th century in Anatolia, extending at its height across Southeast Europe, Western Asia, and North Africa. It was a major power in the Mediterranean and Middle East for over six centuries, influencing politics, culture, and trade in the region."
114,Geography,"The Himalayas, located in South Asia, are the highest mountain range in the world, stretching over 2,400 kilometers across five countries. They are renowned for their majestic peaks, including Mount Everest, the tallest mountain on Earth, and are a major geographical and cultural feature of the region."
115,Literature,"Modernism was a cultural and artistic movement that emerged in the late 19th and early 20th centuries, characterized by a break with traditional forms and styles in literature, art, music, and architecture. It emphasized experimentation, innovation, and a rejection of conventional norms and values, reflecting the upheavals of the modern world."
116,Mathematics,"Number theory is a branch of mathematics that deals with the properties and relationships of numbers, particularly integers. It includes topics such as prime numbers, divisibility, and congruences, and has applications in cryptography, computer science, and pure mathematics."
117,Science,"Quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales, such as atoms and subatomic particles. It introduces concepts such as superposition, entanglement, and wave-particle duality, challenging our classical understanding of physics and revolutionizing fields such as computing, telecommunications, and materials science."
118,History,"The Age of Imperialism, also known as the Age of Empire, was a period of European expansion and colonial rule in the 19th and early 20th centuries. It was characterized by the acquisition of territories in Africa, Asia, and the Pacific, driven by economic interests, geopolitical competition, and ideologies of racial superiority."
119,Geography,"The Arctic Circle is an imaginary line of latitude located at approximately 66.5 degrees north of the Equator, marking the boundary of the Arctic region. It encompasses the Arctic Ocean and surrounding landmasses, including parts of North America, Europe, and Asia, and is known for its extreme cold, polar ice caps, and unique ecosystems adapted to the harsh conditions."
120,Literature,"Postmodernism is a cultural and intellectual movement that emerged in the mid-20th century as a response to the modernist movement. It is characterized by a skepticism of grand narratives, an emphasis on fragmentation and pastiche, and a blurring of boundaries between high and low culture. Postmodern literature often explores themes of identity, language, and the nature of reality in a fragmented and ambiguous manner."
121,Mathematics,"Linear algebra is a branch of mathematics that studies vectors, vector spaces, linear transformations, and systems of linear equations. It has applications in various fields such as engineering, computer science, physics, and economics."
122,Science,"Genetics is the study of genes, heredity, and variation in living organisms. It encompasses molecular biology, evolutionary biology, and biotechnology, and plays a crucial role in understanding inheritance, genetic disorders, and the mechanisms of evolution."
123,History,"The Renaissance was a period of cultural and intellectual flourishing in Europe from the 14th to the 17th century. It marked the transition from the Middle Ages to modernity, characterized by a revival of classical learning, artistic innovation, and exploration."
124,Geography,"Plateaus are elevated flatlands or tablelands, typically bounded by steep cliffs or slopes. They can be formed by geological processes such as tectonic uplift, volcanic activity, or erosion, and are often found between mountains or along continental interiors."
125,Literature,"Satire is a literary genre that uses humor, irony, or ridicule to criticize or mock individuals, societies, or institutions. It often employs exaggeration or parody to highlight flaws or vices and provoke social or political change."
126,Mathematics,"Topology is a branch of mathematics that studies the properties of space that are preserved under continuous deformations, such as stretching, twisting, and bending, but not tearing or gluing. It includes concepts such as continuity, compactness, and connectedness."
127,Science,"Neuroscience is the scientific study of the nervous system, including the brain, spinal cord, and peripheral nerves. It encompasses a wide range of disciplines such as neurobiology, psychology, and computational neuroscience, and seeks to understand how the nervous system functions and influences behavior."
128,History,"The Industrial Revolution was a period of rapid industrialization, technological advancement, and socioeconomic change in the 18th and 19th centuries. It began in Britain and spread to other parts of the world, transforming agriculture, manufacturing, and transportation and leading to urbanization and social reform."
129,Geography,"Erosion is the process by which rocks and soil are gradually worn away and transported by natural forces such as water, wind, ice, and gravity. It can create landforms such as valleys, canyons, and coastlines, and plays a key role in shaping the Earth's surface over geological time scales."
130,Literature,"Drama is a form of literature intended for performance, involving dialogue, action, and often conflict between characters. It encompasses genres such as tragedy, comedy, and farce, and has been a prominent literary form since ancient times, with notable playwrights including Shakespeare, Sophocles, and Chekhov."
131,Mathematics,"Abstract algebra is a branch of mathematics that studies algebraic structures such as groups, rings, fields, and vector spaces. It focuses on the properties of these structures that are invariant under transformations and is widely used in various areas of mathematics and its applications."
132,Science,"Ecology is the scientific study of the interactions between organisms and their environment. It encompasses concepts such as ecosystems, biodiversity, and ecological processes, and plays a crucial role in understanding and addressing environmental issues such as climate change, habitat destruction, and species extinction."
133,History,"The Age of Enlightenment, also known as the Age of Reason, was an intellectual and cultural movement in the 17th and 18th centuries that emphasized reason, science, and individualism over tradition and authority. It laid the foundations for modern Western thought and influenced political and social reforms such as democracy and human rights."
134,Geography,"Glaciers are large masses of ice that move slowly over land, shaping the landscape through processes such as erosion and deposition. They are found in polar regions, mountain ranges, and high latitudes, and play a significant role in regulating global climate and sea levels."
135,Literature,"Tragedy is a genre of literature that portrays the downfall of a noble protagonist due to a tragic flaw or external circumstances. It often explores themes of fate, morality, and the human condition, and has been a prominent literary form since ancient times, with examples such as Sophocles' ""Oedipus Rex"" and Shakespeare's ""Hamlet."""
136,Mathematics,"Discrete mathematics is a branch of mathematics that deals with countable, distinct, and separate objects. It includes topics such as combinatorics, graph theory, and number theory, and has applications in computer science, cryptography, and optimization."
137,Science,"Climate science is the interdisciplinary study of the Earth's climate system, including its atmosphere, oceans, land surfaces, and ice sheets. It involves the analysis of climate data, computer modeling, and the investigation of past climate changes to understand current trends and predict future climate scenarios."
138,History,"The Ancient Greeks were a civilization that flourished in the Mediterranean region from the 8th century BCE to the 4th century BCE. They made significant contributions to philosophy, politics, art, architecture, and science, and their cultural legacy continues to influence Western civilization today."
139,Geography,"Fjords are long, narrow inlets with steep cliffs or slopes, typically formed by the submergence of glaciated valleys. They are found in regions with active glaciation, such as Norway, New Zealand, and Chile, and are characterized by their stunning natural beauty and unique ecosystems."
140,Literature,"Epic poetry is a genre of literature that features grand, heroic narratives often centered around legendary figures and mythological themes. It typically employs elevated language, elaborate descriptions, and epic conventions such as epic similes and formal structure, and has been a prominent literary form since ancient times, with examples such as Homer's ""Iliad"" and ""Odyssey."""
141,Mathematics,"Chaos theory is a branch of mathematics that studies the behavior of dynamical systems that are highly sensitive to initial conditions, leading to unpredictable or chaotic behavior. It encompasses concepts such as fractals, strange attractors, and bifurcations, and has applications in various fields such as meteorology, economics, and biology."
142,Science,"Cosmology is the scientific study of the origin, evolution, and eventual fate of the universe. It encompasses topics such as the Big Bang theory, dark matter, and dark energy, and seeks to understand the fundamental nature of space, time, and the cosmos as a whole."
143,History,"The Middle Ages, also known as the medieval period, was a time period in European history that lasted from the 5th to the late 15th century. It was characterized by feudalism, the spread of Christianity, and significant cultural and technological developments such as the invention of the printing press and Gothic architecture."
144,Geography,"Archipelagos are groups or chains of islands clustered together in a body of water, typically surrounded by ocean. They can be formed by volcanic activity, tectonic movements, or erosion, and are often characterized by diverse ecosystems and unique cultures."
145,Literature,"Symbolism is a literary movement that emerged in the late 19th and early 20th centuries, characterized by the use of symbols to represent abstract ideas or concepts. It often explores themes of spirituality, the unconscious mind, and the interconnectedness of all things, and has been influential in poetry, fiction, and visual arts."
146,Mathematics,"Game theory is a branch of mathematics that studies strategic interactions between rational decision-makers. It analyzes the outcomes of various strategies and seeks to identify optimal decision-making strategies in situations of conflict or cooperation, with applications in economics, political science, and evolutionary biology."
147,Science,"Nanotechnology is the manipulation of matter on an atomic, molecular, and supramolecular scale to create new materials, devices, and systems with novel properties and functions. It has applications in fields such as medicine, electronics, energy, and environmental science, and holds promise for revolutionizing various industries and technologies."
148,History,"The Age of Revolutions was a period of political upheaval and social change in the late 18th and early 19th centuries, marked by revolutions such as the American Revolution, the French Revolution, and the Haitian Revolution. It led to the spread of democratic ideals, the abolition of slavery, and the emergence of modern nation-states."
149,Geography,"Deltas are landforms formed at the mouth of a river where it flows into a larger body of water, such as an ocean or lake. They are characterized by sediment deposition, creating fertile agricultural land and unique ecosystems, and are vulnerable to changes in river flow, sea level rise, and human activities such as dam construction and urbanization."
150,Literature,"Magical realism is a literary genre that blends elements of realism with magical or fantastical elements, often set in ordinary or mundane settings. It explores the interplay between the rational and the irrational, the natural and the supernatural, and has been a prominent literary form in Latin American literature, with authors such as Gabriel García Márquez and Isabel Allende."
151,Mathematics,"Fractal geometry is a branch of mathematics that studies geometric shapes that exhibit self-similarity at different scales. It explores complex, irregular structures found in nature and has applications in computer graphics, image compression, and modeling natural phenomena."
152,Science,"Meteorology is the scientific study of the atmosphere and its phenomena, including weather patterns, climate, and atmospheric conditions. It involves the analysis of atmospheric data, computer modeling, and the prediction of weather events to support various sectors such as agriculture, aviation, and emergency management."
153,History,"The Silk Road was a network of trade routes that connected the East and West, facilitating the exchange of goods, ideas, and culture between Asia, Africa, and Europe. It played a crucial role in the development of civilizations and the spread of religions, technologies, and languages across Eurasia."
154,Geography,"Atolls are ring-shaped coral reefs, typically encircling a lagoon, that form around the rim of submerged volcanic islands or seamounts. They are found in tropical oceans and are characterized by their rich biodiversity, including coral reefs, marine life, and nesting seabirds."
156,Mathematics,"Number theory is a branch of mathematics that deals with the properties and relationships of numbers, particularly integers. It includes topics such as prime numbers, divisibility, and congruences, and has applications in cryptography, computer science, and pure mathematics."
157,Science,"Microbiology is the study of microorganisms, including bacteria, viruses, fungi, and protists, and their interactions with other organisms and the environment. It encompasses various subfields such as medical microbiology, environmental microbiology, and industrial microbiology, and has applications in medicine, agriculture, and biotechnology."
158,History,"The Renaissance was a period of cultural and intellectual rebirth in Europe, spanning roughly from the 14th to the 17th century. It marked the transition from the Middle Ages to the modern era and was characterized by renewed interest in classical learning, humanism, and artistic innovation."
160,Literature,"Magic realism is a literary genre that blends realistic narrative with fantastical elements, often set in ordinary or everyday situations. It explores the magical or surreal aspects of reality, blurring the boundaries between the mundane and the extraordinary, and has been a prominent literary form in Latin American and world literature."
161,Mathematics,"Combinatorics is a branch of mathematics that studies the counting, arrangement, and combination of objects and their properties. It includes topics such as permutations, combinations, and combinatorial designs, and has applications in computer science, cryptography, and optimization."
